PI_ID	ORG_NAME	DIRECT_COST_AMT	TOTAL_COST
1873940	NRG ONCOLOGY FOUNDATION, INC.	1543379.0	1573818.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	1264671.0	907087.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	9781973.0	1259902.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	144382.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	450710.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	669579.0	
1986254	SCRIPPS RESEARCH INSTITUTE, THE	102917.0	182678.0
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	28174608.0	29952323.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	245582.0	300001.0
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	226819.0	299401.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	1543379.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	359371534.0	393953893.0
11529936	RESEARCH TRIANGLE INSTITUTE	68177802.0	68177802.0
1986254	SCRIPPS RESEARCH INSTITUTE, THE	87856.0	97819.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	176396298.0	181942638.0
1889666	FAMILY HEALTH INTERNATIONAL	158195428.0	169587659.0
11529936	RESEARCH TRIANGLE INSTITUTE	50000000.0	50000000.0
11529936	RESEARCH TRIANGLE INSTITUTE	169000000.0	169000000.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	24903100.0	24903100.0
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	6082040.0	6554653.0
7897640	BROAD INSTITUTE, INC.	67634668.0	70224476.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	121600.0	140205.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	121600.0	
11529936	RESEARCH TRIANGLE INSTITUTE	17693191.0	17693191.0
1889666	FAMILY HEALTH INTERNATIONAL	34058401.0	39020844.0
1872615	BRIGHAM AND WOMEN'S HOSPITAL	3817546.0	4700628.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	3812126.0	4384228.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	41989061.0	37136690.0
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	341122.0	386073.0
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	6850396.0	4367621.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	6217176.0	6272147.0
1986254	SCRIPPS RESEARCH INSTITUTE, THE	31957307.0	22378866.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	17307302.0	11772013.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	4847386.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	5097817.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	7302744.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	17153433.0	12554242.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	7724008.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	3166274.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	5276806.0	
11529936	RESEARCH TRIANGLE INSTITUTE	243111.0	395332.0
1986254	SCRIPPS RESEARCH INSTITUTE, THE	3991127.0	5759361.0
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	4506332.0	4856514.0
1860045	FRED HUTCHINSON CANCER CENTER	474371.0	667493.0
6365670	SEATTLE CHILDREN'S HOSPITAL	199602.0	
6365670	SEATTLE CHILDREN'S HOSPITAL	264768.0	
1872615	BRIGHAM AND WOMEN'S HOSPITAL	409710.0	416312.0
